salesID,lastSalePrice,lastSaleDate
117,0.0,2022-02-03T00:00:00.000Z
118,0.0,2017-02-22T00:00:00.000Z
119,1000.0,1988-10-04T00:00:00.000Z
120,17200.0,1996-02-12T00:00:00.000Z
121,55000.0,2017-05-26T00:00:00.000Z
122,199000.0,2015-09-28T00:00:00.000Z
123,250000.0,2010-12-08T00:00:00.000Z
124,120000.0,2008-11-12T00:00:00.000Z
125,379000.0,2014-07-24T00:00:00.000Z
126,103000.0,2013-04-30T00:00:00.000Z
127,445000.0,2005-11-10T00:00:00.000Z
128,321000.0,2014-10-16T00:00:00.000Z
129,54000.0,2010-03-08T00:00:00.000Z
130,470087.0,2007-10-09T00:00:00.000Z
131,400000.0,2019-04-05T00:00:00.000Z
132,0.0,2020-10-06T00:00:00.000Z
133,236100.0,2021-10-12T00:00:00.000Z
134,270000.0,2022-11-15T00:00:00.000Z
135,930000.0,2022-03-30T00:00:00.000Z
136,516000.0,1999-01-22T00:00:00.000Z
137,369900.0,2019-11-15T00:00:00.000Z
138,287500.0,2021-05-07T00:00:00.000Z
139,6000.0,1975-08-22T00:00:00.000Z
140,0.0,2024-07-08T00:00:00.000Z
141,63500.0,1999-03-15T00:00:00.000Z
142,581000.0,2020-06-16T00:00:00.000Z
143,130000.0,2022-04-26T00:00:00.000Z
144,269900.0,2018-11-21T00:00:00.000Z
145,0.0,2019-12-30T00:00:00.000Z
146,258000.0,2020-04-13T00:00:00.000Z
147,0.0,2020-02-26T00:00:00.000Z
148,0.0,2022-03-14T00:00:00.000Z
149,575000.0,2018-01-04T00:00:00.000Z
150,218000.0,1999-08-24T00:00:00.000Z
151,334000.0,2020-10-23T00:00:00.000Z
152,0.0,2021-05-05T00:00:00.000Z
153,177000.0,2019-08-30T00:00:00.000Z
154,1822000.0,2023-09-01T00:00:00.000Z
155,236000.0,2020-06-09T00:00:00.000Z
156,470000.0,2008-05-12T00:00:00.000Z
157,152000.0,2017-05-05T00:00:00.000Z
158,1250000.0,2022-01-07T00:00:00.000Z
159,60500.0,1987-07-01T00:00:00.000Z
160,448100.0,2022-12-09T00:00:00.000Z
161,34300.0,2009-07-06T00:00:00.000Z
162,175000.0,2011-01-18T00:00:00.000Z
163,334000.0,2021-02-19T00:00:00.000Z
164,374900.0,2017-12-22T00:00:00.000Z
165,45000.0,2004-08-13T00:00:00.000Z
166,233000.0,2017-09-18T00:00:00.000Z
167,660000.0,2022-06-09T00:00:00.000Z
168,110000.0,2016-07-26T00:00:00.000Z
169,386500.0,2014-08-14T00:00:00.000Z
170,276500.0,1987-07-01T00:00:00.000Z
171,346800.0,1997-11-04T00:00:00.000Z
172,94500.0,2009-04-27T00:00:00.000Z
173,176000.0,2013-01-31T00:00:00.000Z
174,219900.0,2024-04-25T00:00:00.000Z
175,630000.0,2024-12-23T00:00:00.000Z
176,0.0,2004-07-30T00:00:00.000Z
177,381430.0,2022-04-05T00:00:00.000Z
178,65000.0,2014-03-25T00:00:00.000Z
179,88000.0,1995-08-18T00:00:00.000Z
180,228400.0,2002-02-01T00:00:00.000Z
181,95000.0,2015-09-02T00:00:00.000Z
182,390000.0,2021-05-24T00:00:00.000Z
183,214725.0,2014-02-04T00:00:00.000Z
184,29500.0,1991-12-05T00:00:00.000Z
185,3100.0,2013-04-02T00:00:00.000Z
